Exp,Video,Window,Type,Algo,Time,interIntervalTimeDP,interIntervalTimeDP_GT100,AvgTimeBWDPK,AvgTimeBWDPK_GT100,DThroughput,DTTime,DTotal_Packets,DTotal_Packets_GT100,STD_Less,STD_GT,EMA,DEMA,CUSUM,10P,20P,30P,40P,50P,60P,70P,80P,90P,10T,20T,30T,40T,50T,60T,70T,80T,90T
1,Tears,1,4g,bba,43,0.8949770927429199,0.894977,0.03314729973121926,0.06884438461538461538461538462,38758.533912514395,34688.0,28,14,101.1864312917054,0.0,0.10542655666931869,14.581508731842042,11.183340787887573,52.0,52.0,52.0,52.0,160.0,256.0,256.0,256.0,256.0,28167.41538077889,31496.273847817076,35575.565004379605,39124.975487364165,48767.05336715595,139584.69817391312,2221401.5421077507,2539064.723564299,2710111.779707777
1,Tears,1,4g,bba,44,0.3200991153717041,0.004895,0.03556656837463379,0.00122375,38538.06339225663,12336.0,10,5,102.2005870824625,0.48989794855663565,2.7261923124223624,3.219141597747803,2.8593668937683105,52.0,52.0,52.0,52.0,154.0,256.0,256.0,256.2,257.0,6525.788853622931,8607.527465223819,11712.753399663998,15846.419195260152,16870.67196867423,21988.4178485443,24026.682341312597,27070.613517036494,31130.154823435198
1,Tears,1,4g,bba,45,0.3200991153717041,0,0.5272390842437744,0,7697.615774847627,2464.0,2,1,0.0,0.0,0.0,0.0,0.5272390842437744,72.4,92.80000000000001,113.19999999999999,133.60000000000002,154.0,174.39999999999998,194.79999999999998,215.20000000000002,235.6,789.0158609858637,789.0158609858637,789.0158609858637,789.0158609858637,789.0158609858637,789.0158609858637,789.0158609858637,789.0158609858637,789.0158609858637
1,Tears,1,4g,bba,46,0.7104768753051758,0.659016,0.05465206733116737,0.164754,19840.19535321998,14096.0,14,5,97.34831214536295,0.48989794855663565,0.17788544970370418,2.1007315230369574,1.332287311553955,52.0,52.0,52.0,52.0,52.0,61.599999999999994,256.0,256.0,256.7,38590.141625269775,50394.34577485788,65586.21147676137,77667.62249975879,86563.0536070298,100124.70174426929,122795.17696525218,126580.0052482641,157235.14792001847
1,Tears,1,4g,bba,47,0.702660083770752,0.548928,0.03698210967214484,0.068616,32880.763449682236,23104.0,20,9,100.97841353477484,0.0,2.7007001979788186,7.519135286808016,5.838309288024902,52.0,52.0,52.0,52.0,58.0,256.0,256.0,256.0,256.0,18713.623916218898,30531.038400892485,32941.77167563112,34902.284020740015,35320.78968980265,42557.040921544765,47515.69011013692,55399.981856730476,65302.32910043837
1,Tears,1,4g,bba,48,0.06720495223999023,0.004135,0.006720495223999023,0.00103375,190343.11570253797,12792.0,11,5,100.13833407049081,0.0,0.6032794305884447,1.1029725337028506,0.6531975269317627,52.0,52.0,52.0,52.0,64.0,255.0,255.0,255.0,255.0,36937.564866368186,45080.528096826194,68011.18373558167,80825.69266563297,98504.89541267444,115999.43718582754,128220.58908395868,150141.3713415765,154594.6909636912
1,Tears,1,4g,bba,49,0.004312038421630859,0.004312,0.0004791153801812066,0.001078,2866393.754285082,12360.0,10,5,100.15812498244962,0.4898979485566356,0.0002254514083015816,0.3801635169982913,0.020366907119750977,52.0,52.0,52.0,59.2,159.0,254.0,254.3,255.0,255.0,2251153.671280699,2347805.0370969134,2413132.1856357916,2457824.6440653233,2517599.200969697,2685779.985875521,2792301.4029551493,3920738.7345726276,136075752.6550705
1,Tears,1,4g,bba,50,0.6865978240966797,0.686598,0.06865978240966797,0.1373196,20879.763228001946,14336.0,11,6,101.24628347428548,0.4714045207910317,0.012169000654836906,1.238592534065247,0.7965130805969238,52.0,52.0,52.0,52.0,255.0,255.0,255.0,255.0,256.0,117429.8440117436,1977840.0589423291,2539283.2769700633,2605963.9809344346,2624645.7937145866,2633254.7296917113,2707258.448877683,2939025.3551795622,3391832.8612599014
1,Tears,1,4g,bba,51,0.09651708602905273,0.003697,0.010724120669894747,0.00092425,128557.54882886799,12408.0,10,5,100.75758035999078,0.4,0.8028993934551757,1.2123042082786561,0.8524751663208008,52.0,52.0,52.0,59.2,159.5,255.4,256.0,256.0,256.0,23071.117490542874,30026.914624932437,40392.583187422824,54201.754410532456,57512.55576196466,74374.092532309,80858.39787113224,90806.45377574764,104251.97214236579
1,Tears,1,4g,bba,52,0.7112820148468018,0,0.17782050371170044,0,2924.2971937762227,2080.0,5,0,0.0,0.0,1.7749145116040705,2.409961373806,2.355555772781372,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1164.1459548968144,1401.8483417950902,1639.5507286933655,1725.992958994257,1736.8051109964563,1747.6172629986559,1813.2866034022074,1988.6703206084649,2164.0540378147216
1,Tears,1,4g,bba,53,0.6271779537200928,0.627178,0.06271779537200928,0.1254356,22870.701871644033,14344.0,11,6,101.32934601405638,0.5,0.013284710145769981,1.1775135779380803,0.7347986698150635,52.0,52.0,52.0,52.0,255.0,255.0,255.0,256.0,256.0,121463.11922640038,1708729.738057364,2187393.070519351,2357942.231701606,2499363.3161209766,2621733.158180082,2731492.0358839077,2766420.284288862,2905629.8834240637
1,Tears,1,4g,bba,54,0.7416961193084717,0.004682,0.07416961193084717,0.0011705,17300.885990834162,12832.0,11,5,100.63599408653508,0.0,0.6470856965996514,1.8093829274177555,1.366351842880249,52.0,52.0,52.0,52.0,64.0,256.0,256.0,256.0,256.0,15830.803616829535,33756.24930838324,41881.90375780314,61230.43439159,75752.13764510887,89799.08838719533,108184.29623977671,117118.65737219546,140217.54879782966
1,Tears,1,4g,bba,56,0.39116978645324707,0.289578,0.02173165480295817,0.03217533333333333333333333333,61845.267292624725,24192.0,19,10,101.65952626182356,0.4898979485566356,0.04546171878866849,4.503826782703401,3.0036799907684326,52.0,52.0,52.0,52.0,255.0,255.0,255.6,256.0,256.0,49596.89083280431,57573.15348534735,61240.36384730916,66466.93219081429,74348.37460121649,1601110.5080519598,1979706.3616807638,2001713.0093225797,2178883.620674385
1,Tears,1,4g,bba,57,0.8766860961914062,0.876686,0.051569770364200365,0.09740955555555555555555555556,27248.065303849133,23888.0,18,10,100.55893180335649,0.4,5.557164605945113,9.941359655857088,8.607556104660034,52.0,52.0,52.0,61.60000000000001,255.0,256.0,256.0,256.0,256.0,8983.825100308415,12855.649025672306,17467.811171419053,22820.853960409968,24911.995405059657,26282.678289918287,28207.276789423508,28974.334172562038,30585.710513268208
1,Tears,1,4g,bba,58,0.49457883834838867,0.494579,0.044961712577126244,0.08242983333333333333333333333,33369.80622768647,16504.0,12,7,99.36838727124884,0.3499271061118826,1.1025379771225712,5.508527162075044,4.997302293777466,52.0,52.0,55.599999999999994,140.40000000000006,255.5,256.0,256.0,256.0,256.0,9403.870970755454,13564.190276659601,14395.990516602498,18541.711998921972,19369.475852129646,20118.073596642433,23481.43257043079,24302.419781222612,28424.875146172875
1,Tears,1,4g,bba,59,0.25738000869750977,0.004365,0.028597778744167753,0.00109125,47835.88306763129,12312.0,10,5,101.90039254095147,0.4,2.1883401843646197,2.657033307552338,2.297234296798706,52.0,52.0,52.0,52.0,153.5,255.4,256.0,256.0,256.0,8082.580545503431,10660.992787164701,14509.065287536554,19632.414358963026,20912.61508905762,27257.605196890592,29779.237930823092,33571.47255425043,38635.306848386106
1,Tears,1,4g,bba,61,0.28994297981262207,0.001948,0.02635845271023837,0.0003896,229700.3364007667,66600.0,12,6,846.057535967068,781.8892540223044,0.02749450175189473,0.9352072906494147,0.38884472846984863,52.0,52.0,52.0,55.2,107.5,429.1999999999998,1065.5999999999995,1452.0000000000002,1978.8000000000002,210350.63420750183,228265.5715367619,1791932.1327815042,1869601.7829912023,1896042.7389021777,1900953.9742742672,1938394.518069834,2968101.666628998,5265717.464798244
1,Tears,1,4g,bba,62,0.7788889408111572,0.773764,0.03894444704055786,0.0967205,41905.84599392022,32640.0,21,9,306.5911101834778,396.1389892013056,0.1259289470961153,11.244114675521853,9.438072204589844,52.0,52.0,52.0,52.0,52.0,155.0,254.0,257.0,257.0,33926.23339722851,35642.23329323211,36653.19576997764,38389.28672648681,40119.1410943556,40877.91884296633,43716.791018326956,48845.35405850192,65616.621928279
1,Tears,1,4g,bba,63,0.6541688442230225,0.625263,0.046726346015930176,0.08932328571428571428571428571,29704.869272825148,19432.0,15,8,101.27090182058988,0.4841229182759271,0.4446111468151158,8.103871121406556,7.262448787689209,52.0,52.0,52.0,59.2,256.0,256.0,256.8,257.0,257.0,14066.972282366227,14580.093689001735,15269.27590839364,16683.04335644754,16807.200924830446,18152.966146860792,19395.728824260896,22459.269947262037,25016.262863753618
1,Tears,1,4g,bba,64,0.3198411464691162,0.003700,0.03198411464691162,0.000925,39869.7920538855,12752.0,11,5,101.77734570705583,0.48989794855663565,1.828405715613924,2.5051592969894414,2.0566186904907227,52.0,52.0,52.0,52.0,52.0,256.0,256.0,256.0,257.0,11804.64907642044,14570.0517709407,22412.87870443164,26854.12341386032,32940.40570571517,38338.985653748416,39075.43409920974,42352.20561841021,50938.62150458872
1,Tears,1,4g,bba,65,0.40710902214050293,0.407109,0.04071090221405029,0.0814218,35646.471118961264,14512.0,11,6,100.93242973346487,0.0,3.8626460562180305,4.503674783706665,4.0538177490234375,52.0,52.0,52.0,64.0,257.0,257.0,257.0,257.0,257.0,9669.933915509686,11184.844920171354,12147.67501085575,15489.294038887676,18019.76484768776,20544.658619384212,23871.01540718085,25572.883353217163,29699.083856279747
1,Tears,1,4g,bba,66,0.40710902214050293,0,0.0,0,1021.8393044024177,416.0,1,0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,9669.933915509686,11184.844920171354,12147.67501085575,15489.294038887676,18019.76484768776,20544.658619384212,23871.01540718085,25572.883353217163,29699.083856279747
1,Tears,1,4g,bba,67,0.3800528049468994,0.380053,0.018097752616519018,0.0380053,71400.60446019183,27136.0,22,11,102.18238434006857,0.48104569292083466,0.046715298002890815,6.022164008617404,3.961676836013794,52.0,52.0,52.0,52.0,154.0,256.0,256.0,256.0,257.0,49520.45448172949,52258.32336186419,60553.37234929493,67440.87218667731,69895.52893371393,77019.5063100076,2109396.064630007,2228534.396555436,2531228.643475943
